region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
北京,19818,20186,20249,19688,19547,19460,18743,,,
天津,17757,15866,14881,13460,12732,12606,12240,680,,
河北,26077,22940,20305,19647,18812,17512,14869,8410,6260,5753
山西,13813,13176,13658,14655,13369,12592,12200,8710,3828,3831
内蒙古,16495,10731,11109,11123,10650,9673,9272,2810,2791,3175
辽宁,26001,25123,23462,22074,21384,20136,19104,8362,6352,6399
吉林,13203,12248,13074,12855,11200,10327,10136,4690,4196,3262
黑龙江,20239,19373,17913,14982,15087,13661,11956,5698,5148,4279
上海,24169,24027,23897,23824,23190,22906,23130,6754,6754,6754
江苏,62333,58419,54484,50742,49793,47383,41266,16422,14657,16111
浙江,69884,59971,50186,43749,40558,39982,39989,20022,8947,9150
安徽,14760,13709,12319,11068,10535,9551,8948,5026,4022,3772
福建,23554,21757,19675,17030,15627,15209,13555,6685,3607,3636
江西,14282,13438,11718,11291,11648,10968,9934,4762,2701,3189
山东,82116,70911,59238,51412,44682,41492,39470,18296,18845,14182
河南,20794,19671,20840,18145,18337,17035,16362,9475,5647,5481
湖北,18646,20648,18446,16355,17298,16427,16706,12079,6497,6248
湖南,17710,15954,14676,13764,14132,15631,14791,5433,5095,5020
广东,102075,95773,94131,88696,87384,79085,69485,23858,17542,16300
广西,13111,11465,10699,9733,9323,8360,8099,4960,3058,3143
海南,5866,5856,4758,4022,5600,4737,3818,1211,580,486
重庆,14352,13342,11989,16972,8828,8880,11183,2705,3033,2922
四川,24804,22745,20824,19927,19140,16729,15239,8705,5090,5980
贵州,8656,6990,6269,5300,5305,5201,5143,2790,1135,1107
云南,20775,19824,16620,15086,16329,16240,13218,5928,2588,2552
西藏,1035,1035,997,963,834,790,949,748,262,262
陕西,10453,9832,9419,8738,9187,8837,8697,2620,2028,2057
甘肃,6429,5935,5872,4969,4907,4513,4173,2405,2171,1366
青海,3039,2276,1978,1979,1937,1870,1554,1057,522,515
宁夏,5019,5036,5890,5342,4813,4658,4325,2708,847,696
新疆,8429,8184,7663,7583,7568,7103,10258,4241,2311,2410
