region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
北京,574,554,527,465,442,372,336,228,200,142
天津,175,147,147,143,139,84,80,79,79,71
河北,,,,,,,,,,
山西,,,,,,,,,,
内蒙古,,,,,,,,,,
辽宁,221,221,141,141,137,115,115,87,87,73
吉林,64,64,55,55,55,39,39,39,32,39
黑龙江,17,17,17,17,,,,,,
上海,618,618,578,567,468,454,453,343,253,251
江苏,393,377,313,134,110,85,85,22,22,22
浙江,156,131,87,48,48,,,,,
安徽,25,,,,,,,,,
福建,9,,,,,,,,,
江西,29,29,,,,,,,,
山东,33,11,,,,,,,,
河南,46,26,26,26,,,,,,
湖北,180,125,95,72,56,29,29,10,10,10
湖南,69,27,22,,,,,,,
广东,632,451,437,437,413,413,300,172,135,138
广西,32,,,,,,,,,
海南,,,,,,,,,,
重庆,213,202,202,170,131,70,17,19,17,17
四川,106,86,59,48,40,19,19,,,
贵州,,,,,,,,,,
云南,46,59,59,40,,,,,,
西藏,,,,,,,,,,
陕西,89,51,51,45,20,20,,,,
甘肃,,,,,,,,,,
青海,,,,,,,,,,
宁夏,,,,,,,,,,
新疆,,,,,,,,,,
