北京,369019,406003,477180,484306,515416,503272,505144,516517,470863,422645
天津,149935,157001,151011,136490,118721,114798,108581,116178,112137,102415
河北,186048,187208,205342,202727,203954,197470,178559,166910,156368,143232
山西,126350,132132,131496,156364,124838,124029,110135,99887,89438,84633
内蒙古,114588,107674,107099,108685,96349,92547,89963,64298,62004,51069
辽宁,379069,395634,405165,403782,401457,411312,400802,373767,371659,353721
吉林,163291,167617,169206,164143,165336,152458,148242,153721,420035,111111
黑龙江,246570,250912,245973,236759,223956,220063,212581,204493,193391,170863
上海,239112,254852,266530,271048,280360,281075,280758,270591,266339,265170
江苏,443998,454967,442725,439512,427578,408572,377257,373199,352597,322230
浙江,346196,354306,341776,321359,310463,300425,302932,320709,292044,262806
安徽,186608,198829,211631,211012,212719,198662,181876,182560,164226,155909
福建,220394,225201,225977,227004,224703,216866,197723,175940,196154,183203
江西,107570,130195,129185,130511,127961,122042,121628,112248,115598,105371
山东,390015,389972,403854,411311,398268,380085,371800,335324,339599,302850
河南,241534,248260,257033,266092,263718,256311,229237,200187,192288,172633
湖北,318564,325223,331786,328874,330613,309524,281181,305052,257354,250175
湖南,259113,277934,276227,271882,272165,265211,241463,199092,195527,190582
广东,689654,729057,757868,743710,739359,685606,576764,656849,849251,546399
广西,117839,121751,130990,138161,142505,143137,141942,133106,115894,117944
海南,43803,42471,43815,43756,43306,39908,36470,30746,222928,26381
重庆,250283,246920,240681,221342,176968,174930,161932,141466,155206,146766
四川,350249,379658,390383,360895,347025,313943,289504,276147,425191,229929
贵州,155528,131291,142596,139265,132200,122646,113505,405571,98506,94955
云南,147825,150062,147956,149918,148409,137730,138213,121842,106495,98305
西藏,8688,9128,8380,8001,7139,7251,5296,5618,6861,6991
陕西,228590,234994,239293,238542,248687,241279,223729,198598,185848,159770
甘肃,114549,109823,113738,110711,102846,96662,85327,72966,74647,60858
青海,37768,37909,34971,41760,39135,39158,38964,42158,60037,56798
宁夏,41898,42377,42744,41664,37441,30427,27130,26993,20567,13053
新疆,151588,154834,155845,153091,151397,138388,132084,119086,123554,117090
