北京,365934,332381,338668,320469,246162,219280,184645,142268,121660,65493
天津,30855,28812,30061,24437,11230,7565,6568,5395,4872,3496
河北,,,,,,,,,,
山西,,,,,,,,,,
内蒙古,,,,,,,,,,
辽宁,45193,39076,35000,31851,26910,15439,8627,6885,6464,5823
吉林,8078,7835,7661,7235,5225,4495,3636,2954,2675,2307
黑龙江,6850,6564,5387,1397,,,,,,
上海,340106,306798,282727,250628,227573,210105,188407,131837,112798,81397
江苏,107023,92727,63438,50125,42655,34370,21459,11353,10379,8016
浙江,36845,26122,15903,9238,561,,,,,
安徽,70,,,,,,,,,
福建,179,,,,,,,,,
江西,7958,140,,,,,,,,
山东,1121,54,,,,,,,,
河南,12376,8810,6786,65,,,,,,
湖北,71659,56510,35624,27343,8288,7737,3300,1317,1106,926
湖南,16033,8407,4580,,,,,,,
广东,388964,352880,331465,297111,263739,198930,134373,59580,73448,49777
广西,642,,,,,,,,,
海南,,,,,,,,,,
重庆,69343,63247,51710,40049,24363,8332,4576,4181,3988,3347
四川,56217,27163,22692,19359,10308,5528,1187,,,
贵州,,,,,,,,,,
云南,8821,8367,4922,376,,,,,,
西藏,,,,,,,,,,
陕西,40816,34209,29953,12190,5912,1618,,,,
甘肃,,,,,,,,,,
青海,,,,,,,,,,
宁夏,,,,,,,,,,
新疆,,,,,,,,,,
