北京,734953,738384,815848,804775,761578,722552,689789,658785,592523,488138
天津,180790,185813,181072,160927,129951,122363,115148,121573,117009,105911
河北,186048,187208,205342,202727,203954,197470,178559,166910,156368,143232
山西,126350,132132,131496,156364,124838,124029,110135,99887,89438,84633
内蒙古,114588,107674,107099,108685,96349,92547,89963,64298,62004,51069
辽宁,424262,434710,440165,435633,428367,426751,409429,380652,378123,359544
吉林,171369,175452,176867,171378,170561,156953,151879,156675,422710,113418
黑龙江,253420,257476,251360,238156,223956,220063,212581,204493,193391,170863
上海,579218,561650,549257,521676,507933,491180,469164,402428,379137,346567
江苏,551021,547694,506163,489637,470233,442942,398716,384552,362976,330246
浙江,383041,380428,357679,330597,311024,300425,302932,320709,292044,262806
安徽,186678,198829,211631,211012,212719,198662,181876,182560,164226,155909
福建,220573,225201,225977,227004,224703,216866,197723,175940,196154,183203
江西,115528,130335,129185,130511,127961,122042,121628,112248,115598,105371
山东,391136,390026,403854,411311,398268,380085,371800,335324,339599,302850
河南,253910,257070,263819,266157,263718,256311,229237,200187,192288,172633
湖北,390223,381733,367410,356217,338901,317261,284481,306369,258460,251101
湖南,275146,286341,280807,271882,272165,265211,241463,199092,195527,190582
广东,1078618,1081937,1089333,1040821,1003098,884536,711137,716429,922699,596176
广西,118481,121751,130990,138161,142505,143137,141942,133106,115894,117944
海南,43803,42471,43815,43756,43306,39908,36470,30746,222928,26381
重庆,319626,310167,292391,261391,201331,183262,166508,145647,159194,150113
四川,406466,406821,413075,380254,357333,319471,290691,276147,425191,229929
贵州,155528,131291,142596,139265,132200,122646,113505,405571,98506,94955
云南,156646,158429,152878,150294,148409,137730,138213,121842,106495,98305
西藏,8688,9128,8380,8001,7139,7251,5296,5618,6861,6991
陕西,269406,269203,269246,250732,254599,242897,223729,198598,185848,159770
甘肃,114549,109823,113738,110711,102846,96662,85327,72966,74647,60858
青海,37768,37909,34971,41760,39135,39158,38964,42158,60037,56798
宁夏,41898,42377,42744,41664,37441,30427,27130,26993,20567,13053
新疆,151588,154834,155845,153091,151397,138388,132084,119086,123554,117090
