北京,22688,23287,23667,23592,22146,21628,21548,21716,21507,19395
天津,12699,11619,11144,9670,8405,7628,7121,7862,7886,7489
河北,21479,18927,15977,17498,16493,15503,14630,13531,14331,13407
山西,8895,8153,8301,8957,7851,7226,6609,6655,6231,5982
内蒙古,8000,6877,6836,6721,5586,5646,5771,5558,5343,4611
辽宁,22046,21558,21386,20929,20500,20160,19416,18855,19490,18748
吉林,11272,11662,11343,10873,10532,10273,10203,10047,9713,9052
黑龙江,16861,16299,15640,15525,14364,14241,13567,13401,12746,12460
上海,16693,16531,16155,16717,16695,16589,17455,16272,16573,16944
江苏,39147,36793,34745,32710,30380,29205,27195,28176,25369,23874
浙江,31651,28956,26532,25230,22892,21927,21589,22135,21836,18712
安徽,14473,13916,13915,13023,11992,11035,9626,9712,10240,9521
福建,16094,15065,13426,12414,11823,11203,10306,10106,9084,8812
江西,7974,7527,7307,7733,7852,7297,6266,6358,6605,6176
山东,47268,39734,34138,35031,32869,31230,27752,25272,30286,29265
河南,22697,21913,20267,18770,18137,17601,16096,15735,15661,13546
湖北,19809,18929,17671,17134,16670,16458,16428,16508,17866,17132
湖南,19018,17203,15649,14010,13148,12600,12344,11736,11567,11135
广东,59584,55551,53866,52189,50729,49532,40509,38328,37548,34429
广西,8949,8094,7774,7611,7430,7208,6839,6933,6274,5785
海南,3080,2938,2879,2670,2614,2356,1964,1676,1549,1331
重庆,11832,11573,10881,10680,7982,7822,7552,7046,8667,8411
四川,22617,21266,22407,21815,19388,17597,15186,14583,14184,12280
贵州,6565,6168,5834,5454,5031,4879,4584,4439,4690,4670
云南,10926,9868,9100,8533,8187,7531,7135,6286,6717,6413
西藏,580,544,451,382,396,366,940,751,784,814
陕西,12066,11616,11365,11468,10840,10608,9953,9103,8666,8435
甘肃,5233,5275,5488,5359,5214,4965,4382,4172,4048,3578
青海,2248,2071,2113,2083,2067,2038,2175,1994,1899,1937
宁夏,3357,3475,3296,3192,3042,2570,2382,2133,1889,1633
新疆,9250,9587,9402,8631,8155,7723,7353,8082,8043,8512
