北京,5204,5024,4664,3998,3685,2850,2463,2014,1714,1130
天津,956,626,626,626,626,326,292,256,256,228
河北,,,,,,,,,,
山西,,,,,,,,,,
内蒙古,,,,,,,,,,
辽宁,904,800,486,458,468,354,354,100,90,100
吉林,398,395,380,380,380,248,218,140,133,133
黑龙江,78,66,66,66,,,,,,
上海,4025,3797,3677,3490,3130,2899,2842,1833,1431,1117
江苏,1984,1805,1271,670,576,450,366,120,120,120
浙江,900,744,516,288,168,,,,,
安徽,132,,,,,,,,,
福建,144,,,,,,,,,
江西,162,138,,,,,,,,
山东,151,48,,,,,,,,
河南,258,150,150,150,,,,,,
湖北,1106,776,578,402,312,132,116,48,48,48
湖南,345,162,96,,,,,,,
广东,4086,3196,2996,2470,2360,2204,1424,884,678,544
广西,144,,,,,,,,,
海南,,,,,,,,,,
重庆,978,918,888,702,558,296,108,84,60,60
四川,966,732,390,312,240,102,102,,,
贵州,,,,,,,,,,
云南,240,240,234,72,,,,,,
西藏,,,,,,,,,,
陕西,630,324,282,282,108,84,,,,
甘肃,,,,,,,,,,
青海,,,,,,,,,,
宁夏,,,,,,,,,,
新疆,,,,,,,,,,
