region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
北京,27892,28311,28331,27590,25831,24478,24011,23730,23221,20525
天津,13655,12245,11770,10296,9031,7954,7413,8118,8142,7717
河北,21479,18927,15977,17498,16493,15503,14630,13531,14331,13407
山西,8895,8153,8301,8957,7851,7226,6609,6655,6231,5982
内蒙古,8000,6877,6836,6721,5586,5646,5771,5558,5343,4611
辽宁,22950,22358,21872,21387,20968,20514,19770,18955,19580,18848
吉林,11670,12057,11723,11253,10912,10521,10421,10187,9846,9185
黑龙江,16939,16365,15706,15591,14364,14241,13567,13401,12746,12460
上海,20718,20328,19832,20207,19825,19488,20297,18105,18004,18061
江苏,41131,38598,36016,33380,30956,29655,27561,28296,25489,23994
浙江,32551,29700,27048,25518,23060,21927,21589,22135,21836,18712
安徽,14605,13916,13915,13023,11992,11035,9626,9712,10240,9521
福建,16238,15065,13426,12414,11823,11203,10306,10106,9084,8812
江西,8136,7665,7307,7733,7852,7297,6266,6358,6605,6176
山东,47419,39782,34138,35031,32869,31230,27752,25272,30286,29265
河南,22955,22063,20417,18920,18137,17601,16096,15735,15661,13546
湖北,20915,19705,18249,17536,16982,16590,16544,16556,17914,17180
湖南,19363,17365,15745,14010,13148,12600,12344,11736,11567,11135
广东,63670,58747,56862,54659,53089,51736,41933,39212,38226,34973
广西,9093,8094,7774,7611,7430,7208,6839,6933,6274,5785
海南,3080,2938,2879,2670,2614,2356,1964,1676,1549,1331
重庆,12810,12491,11769,11382,8540,8118,7660,7130,8727,8471
四川,23583,21998,22797,22127,19628,17699,15288,14583,14184,12280
贵州,6565,6168,5834,5454,5031,4879,4584,4439,4690,4670
云南,11166,10108,9334,8605,8187,7531,7135,6286,6717,6413
西藏,580,544,451,382,396,366,940,751,784,814
陕西,12696,11940,11647,11750,10948,10692,9953,9103,8666,8435
甘肃,5233,5275,5488,5359,5214,4965,4382,4172,4048,3578
青海,2248,2071,2113,2083,2067,2038,2175,1994,1899,1937
宁夏,3357,3475,3296,3192,3042,2570,2382,2133,1889,1633
新疆,9250,9587,9402,8631,8155,7723,7353,8082,8043,8512
